CaseID,Opened,Closed,Updated,Status,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4625700,03/31/2015 10:16:20 PM,,03/31/2015 10:16:20 PM,Open,PUC Streetlights Queue,Streetlights,Streetlight - Light_Burnt_Out,Light_Burnt_Out on Metal Pole,"455 CASTRO ST, SAN FRANCISCO, CA, 94114",8,Castro/Upper Market,"(37.761699264947, -122.435005804091)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/551b7f19df861c2f469d41ea/149709.jpg
4625693,03/31/2015 10:09:02 PM,,03/31/2015 10:53:56 PM,Open,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Sidewalk_structure - Not_Offensive,"2475 SAN JOSE AVE, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.718514255553, -122.447908836662)",Web Self Service,
4625687,03/31/2015 10:03:43 PM,,03/31/2015 10:52:51 PM,Open,311 Supervisor Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Street - Not_Offensive,"2475 SAN JOSE AVE, SAN FRANCISCO, CA, 94112",11,Outer Mission,"(37.718514255553, -122.447908836662)",Web Self Service,https://311crm-prod.ad.sfgov.org/attachments/viewCaseNoteAttachments.jsp?caseid=4625687
4625686,03/31/2015 10:01:01 PM,,03/31/2015 10:02:05 PM,Open,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,"556 LARKIN ST, SAN FRANCISCO, CA, 94102",6,Downtown/Civic Center,"(37.783036750241, -122.417312563238)",Voice In,
4625682,03/31/2015 09:57:41 PM,,03/31/2015 10:54:02 PM,Open,DPW BSSR Queue,Street Defects,Pavement_Defect,Pavement_Defect,"208 VALLEY ST, SAN FRANCISCO, CA, 94131",8,Noe Valley,"(37.744537844261, -122.426987687015)",Open311,
240228,07/01/2008 05:05:00 AM,07/22/2008 01:05:00 PM,07/22/2008 01:05:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Tires_less_than_10,Intersection of 27TH ST and GUERRERO ST,8,Bernal Heights,"(37.7471717655759, -122.42238350605)",Voice In,
240226,07/01/2008 05:03:00 AM,07/22/2008 01:05:00 PM,07/22/2008 01:05:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Furniture,Intersection of 27TH ST and GUERRERO ST,8,Bernal Heights,"(37.7471717655759, -122.42238350605)",Voice In,
240227,07/01/2008 05:03:00 AM,07/01/2008 06:10:00 AM,07/01/2008 06:10:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal_Dumping,Garbage,Intersection of 27TH ST and GUERRERO ST,8,Bernal Heights,"(37.7471717655759, -122.42238350605)",Voice In,
240224,07/01/2008 04:40:00 AM,07/08/2008 08:48:00 AM,07/08/2008 08:48:00 AM,Closed,DPT SignShop 09 Queue,Sign Repair,Sign Repair - Bent,No_Parking - Bent; support - Bent,Intersection of MISSION ST and VIRGINIA AVE,9,Bernal Heights,"(37.743122600676, -122.421485554258)",Voice In,
240222,07/01/2008 03:03:00 AM,07/01/2008 06:10:00 AM,07/01/2008 06:10:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Garbage,Intersection of BROOK ST and MISSION ST,9,Bernal Heights,"(37.7406417656081, -122.423090064246)",Voice In,
240221,07/01/2008 02:07:00 AM,07/08/2008 10:03:00 AM,07/08/2008 10:03:00 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Abandoned Vehicle - Car4door,DARK BLUE - FORD - CROWN VICTORIA  - 3WBG858,"1271 EDDY ST, SAN FRANCISCO, CA, 94115",5,Western Addition,"(37.781800341, -122.428537476)",Voice In,
240220,07/01/2008 01:56:00 AM,07/01/2008 06:10:00 AM,07/01/2008 06:10:00 AM,Closed,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Hanging_limb,Intersection of 2ND AVE and IRVING ST,5,Inner Sunset,"(37.7643657242198, -122.458814894064)",Voice In,
240216,07/01/2008 12:26:00 AM,07/01/2008 06:10:00 AM,07/01/2008 06:10:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Illegal_Dumping,Mattress,Intersection of 18TH AVE and JUDAH ST,4,Inner Sunset,"(37.7617471571397, -122.475924197088)",Voice In,
240215,07/01/2008 12:13:00 AM,07/02/2008 04:05:00 PM,07/02/2008 04:05:00 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Sidewalk_Cleaning,Sidewalk_Cleaning," 408 UNION ST, SAN FRANCISCO, CA, 94133",3,North Beach,"(37.800869062548, -122.406192162738)",Voice In,
